"3 BHK Semifurnished Flat in Kadavanthra, 1555 sqft","3 BHK semifurnished flat 1555 sqft with all facilities in Kadavanthara. Good road access. 3/ 16 floors. Branded builder, 10 plus years. Servent bathroom available  Price: 86 Lakhs  700/7699",Kochi,Kadavanthra,3 Bds , 3 Ba , 1555 ft2,"₹ 86,00,000"
നസ്റേത്ത് 2ബെഡ്റൂം 1കോമൺബാത്‌റൂമ് ഹാൾകിച്ചൻ ഗ്രൗണ്ട്ഫ്ലോർ3അരപണയം,"1, 7 ലക്ഷം പണയം ചുള്ളിക്കൽ രണ്ടു ബെഡ് റൂം 1 അറ്റാച്ച് ഹാൾ കിച്ചൻ ഗ്രൗണ്ട് ഫ്ലോർ 1, നസ്റേത്ത് 2 ബെഡ്റൂം 1കോമൺ ബാത്‌റൂമ് ഹാൾ കിച്ചൻ ഗ്രൗണ്ട് ഫ്ലോർ മൂന്നരലക്ഷം പണയം  1, തൊപ്പുംപടി രണ്ടര ലക്ഷം പണയം  1, ചുള്ളിക്കൽ ഒരു സെന്റിൽ പുതിയ വീട് വില്പനക്ക് ഒരു ബെഡ് റൂം ഹാൾ കിച്ചൻ കോമൺ ബാത്‌റൂമ് 17 ലക്ഷം  1, ചുള്ളിക്കൽ ഫസ്റ്റ് ഫ്ലോർ രണ്ടു ബെഡ് റൂം ഹാൾ കിച്ചൻ ഒരു അറ്റാച്ച് ഒരു കോമൺ ബാത്‌റൂമ് ഒരു ലക്ഷം അഡ്വാൻസ് 9 വാടക  1, മട്ടാഞ്ചേരി ഈരവേലിയിൽ 1.850 സെന്റ് ഇരുനില വീട് 1300 sq ഗ്രൗണ്ട് ഫ്ലോർ രണ്ടു ബെഡ് റൂം ഒന്ന് അറ്റാച്ച് ഒരു കോമൺ ഹാൾ കിച്ചൻ. ഫസ്റ്റ് ഫ്ലോർ രണ്ടു ബെഡ് റൂം അറ്റാച്ച് ഹാൾ കിച്ചൻ 37 ലക്ഷം വില്പനക്ക് (10 വർഷം പഴക്കം ) 1, മട്ടാഞ്ചേരി പുതിയ റോഡിൽ 1400 cent(1700) 2 ബെഡ് റൂം 1 അറ്റാച്ച് ഹാൾ കിച്ചൻ 27 ലക്ഷം വില്പനക്ക്  1, കഴുത്ത്മുട്ട് ഫസ്റ്റ് ഫ്ലോർ 3 ബെഡ് റൂം 2 അറ്റാച്ച് ഹാൾ കിച്ചൻ 10 ലക്ഷം പണയം  1, ചുള്ളിക്കൽ 1.600 സെന്റ് ഒരു നില വീട് രണ്ട് ബെഡ് റൂം അറ്റാച്ച് ഹാൾ കിച്ചൻ 33 ലക്ഷം വില്പനക്ക്  1, പോളകണ്ടം വാട്ടർ അതോറിറ്റി ഒരു ബെഡ് റൂം ഹാൾ കിച്ചൻ കോമൺ ബാത്‌റൂമ് നാലര ലക്ഷം പണയം  1, പോളക്കണ്ടം ഫസ്റ്റ് ഫ്ലോർ 3 ബെഡ്റൂം രണ്ടുകോമൺബാത്‌റൂമ്50അഡ്വാൻസ്10 വാടക 1, ചുള്ളിക്കൽ 3 ബെഡ് റൂം ഒന്ന് അറ്റാച്ച് ഒന്ന് കോമൺ ഒറ്റ പുതിയ വീട് റോഡ് വാതിക്കൽ കാർ വരും വീട്ടിൽ ബൈക്ക് ഇടാൻ പറ്റു 15 ലക്ഷം പണയം. 1, 3 സെന്റ് ചുള്ളിക്കൽ പ്ലോട്ട് കാർ കയറും 13 അര ലക്ഷം വെച്ച് വീട് വാടക പണയം സമിപ്പിക്കുക A1 റിയൽ എസ്റ്റേറ്റ്",Kochi,Chullickal,2 Bds , 1 Ba , 1000 ft2,"₹ 3,50,000"
Marine drive Fully water frontage 1900 sqft fully furnished flat flat,Pioneer Swapnil Enclave Marine drive kochi  1900 sq feet 3 bhk fully furnished flat for Resale ready to move with all furnitures and fixtures  Fully Air condition also  NRI OWNED FLAT Well maintained flat Total 3 bedrooms attached bathrooms plus one servant bathroom also near by kitchen  Servant having aditional entrance  having two specious  balcony fully water frontage vew to  bolgaty island beautiful view  It is corner property having Road view and high court side  This property more than 15 years old Well maintained project  all pictures attached with this add kindly watch it interested parties only contact following number 9️⃣4️⃣4️⃣7️⃣1️⃣5️⃣5️⃣0️⃣6️⃣1️⃣,Kochi,Marine Drive,3 Bds , 4 Ba , 1950 ft2,"₹ 1,50,00,000"
"2BHK House For Sale at Kumblanghi Vazhi, Palluruthy","House for Sale  Near Eranattu Devi Temple, Palluruthy, Kochi. House is situated on a 3 cent Land House 100m from Koventha Church & Bus Stop. 750m from St. Juliana's School For more details Please Contact Me.",Kochi,Perumpadappu,2 Bds , 2 Ba , 770 ft2,"₹ 42,00,000"
House for sale,Financial issues,Kochi,Palluruthy,3 Bds , 3 Ba , 1100 ft2,"₹ 50,00,000"
5000SQFT COMMERCIAL CUM RESIDENTIAL BUILDING FOR SALE IN KADAVANTHRA,5000sqft Commercial cum Residential building on 8.5 cents land for sale in Kadavanthra. Near KP vallon road. 1KM from Kadavanthra Junction. Asking price ₹ 3.75Cr  Ground  floor 4 rooms with attached toilet 2 shops/office 2 commercial corporation number 1 residential corporation number 1 public toilet 21 meter open road frontage for parking Multiple road entry Backside car parking facility —————————————— First floor 5 independent rooms and attached toilets Open terrace Big passage  Utility area ————————— 2nd floor Apartment  2 Bed rooms and attached toilet Study room Guest toilet Open  living dining and kitchen ———————— Highlights Option for lift Solar water facility  8000 ltr water storage  AVS REALTORS & FINANCIAL CONSULTANCY (Property Developers & Consultants) ⑨⓪⑦④⑥⓪⑧⓪⑧⓪ BROKERS PLEASE DO EXCUSE.,Kochi,Kadavanthra,4+ Bds , 4+ Ba , 5000 ft2,"₹ 3,75,00,000"
2bhk 1180sq. Ft laxury flat sale kadavanthra 62lakhs,"2bhk 1180sq. Ft laxury flat sale kadavanthra 62lakhs Swimming pool Lift, security, powerback up, gym,covered parking  There will be all kinds of support from our side till the registration is completed.  Time wasters don't call me Genuine buyers call me  No brokerage and service charge  Brokers excuse  Call me 7️⃣0️⃣2️⃣5️⃣6️⃣2️⃣9️⃣3️⃣3️⃣9️⃣",Kochi,Kadavanthra,2 Bds , 2 Ba , 1180 ft2,"₹ 62,00,000"
OLD HOUSE FOR SALE!,5 cent Plot with incompleted house is for sale  Twowheeler pocket road.,Kochi,Kadavanthara,3 Bds , 2 Ba , 800 ft2,"₹ 60,00,000"
"2 BEDROOM SEMI FURNISHED FLAT FOR SALE FIRST FLOOR NEAR THEVARA,KOCHI.","FOR SALE: 2 BEDROOM WITH ATTACHED BATHROOM 1006 SQ.FT ON FIRST FLOOR OF THREE STORIED SEMI FURNISHED APARTMENT FOR SALE Rs 45,00,000 WITH COVERED CAR PARKING / SECURITY FACILITIES NEAR THEVARA, KOCHI (HEA ID - 1222 ). ONLY GENUINE CLIENTS MAY CONTACT FOR FURTHER DETAILS. NOTE PLEASE: - These ads are posted here as I am the broker. I'm always at your service except for brokerage. WE HAVE CHARGES FOR SITE VISIT AS CONSULTANT / REGISTRATION FEES Minimum Rs 50 per hour onwards.",Kochi,Thevara,2 Bds , 2 Ba , 1005 ft2,"₹ 45,00,000"
Beautiful 4BHK Villa For Sale At Edavanakkad,"Beautiful 4BHK Villa at Edavanakkad  Plot Area : 4.5 cents  Total Built-up Area : 1750 sq. ft.  Location : Near Edavanakkad Panchayath Office  Description:  *Located in beautiful residential colony (Already 15+ units sold)  *4 Bedrooms with Attached Bathrooms  *2 Bedrooms on Ground Floor (Very Rare)  *Large Living & Dining Spaces  *Built according to Vaastu principles  *3 Meter Wide Tar Access Road  *Large Capacity Underground Water Tank  Details :  Flooring : Branded Vitrified Tile flooring with Granite used in Sitout, Stairs and Kitchen slab. Ceramic tiles in Kitchen and Bathroom  Sanitary Fittings : Branded Sanitary fittings  Wood Works : Hardwood doors and windows. Front door and windows polished, rest wood paint finish.  Kitchen : Granite counter-top, wooden cabinetry below counter and ceramic tiles upto 7 ft. height  Just 300 metres from Vypin - Cherai Highway  Attractive benefits under Pradhan Mantri Awas Yojana*   Call Now for Floor Plans, Brochure , Photos",Kochi,Vypin,4 Bds , 4 Ba , 1750 ft2,"₹ 57,50,000"
Kadavanthra galaxy,Kadavanthra galaxy,Kochi,Kadavanthra,3 Bds , 2 Ba , 1302 ft2,"₹ 50,00,000"
"House at Chembnoda village, Koyilandy Taluk, Kozhikode district","Property Code : 1045444  Asset Schedule  Property ID  :  UBINMLRKKD1924    All the part and parcel of property admeasuring 37 cents of land with residential house no 3/308 in unsurvey land of Chembnoda village, Koyilandy Taluk, Kozhikode district owned by Mr.K.T.Kuttichan East Thattumkal Thomas kaivasa sthalam West Thannil shesham ente kaivasam ulla 1 acres 50 cent sthalam North Kadanthra Puzha South Chembanoda Poozhithode road",Kochi,Kochi Shipyard,3 Bds , 3 Ba , 16115 ft2,"₹ 30,00,000"
Panamilly Nagar Project 915 sqft Golden Galaxy Dale,2BHK 2Bathroom Semi Furnished Apartment at Panampilly Nagar New Project  Amenities - Galaxy Golden Dale,Kochi,Kadavanthara,2 Bds , 2 Ba , 950 ft2,"₹ 60,00,000"
"Premium Apartment For Sale At RDS Oasis Jawahar Nagar , Kadavanthra.","Premium Apartment For Sale At RDS Oasis Jawahar Nagar , Kadavanthra. Asking price 1.10cr   1760Sqft , 3Bhk , 3athroom , Fully furnished  1 carparking , All amenities.  MORE DETAILS PLEASE CALL 9️⃣5️⃣6️⃣7️⃣8️⃣0️⃣6️⃣8️⃣2️⃣2️⃣   DREAM HOME PROPERTY MANAGEMENT.",Kochi,Kadavanthra,3 Bds , 3 Ba , 1760 ft2,"₹ 1,20,00,000"
1366 SQFT 3BHK APARTMENT FOR SALE NEAR ERNAKULAM SHIVA TEMPLE,"1366sqft 3bhk apartment for sale in ground floor near Ernakulathappan temple, Prime location. close to DH ground, Maharaja's College, and metro station. Covered car parking, maintenance charge ₹ 1700. Asking price ₹ 65L",Kochi,MG Road,3 Bds , 3 Ba , 1366 ft2,"₹ 65,00,000"
"Land and Building at Nelliadka PO, Movvar,Karadka,Mulleria,Kasaragod","Property Code : 1044745  Asset Schedule  Property ID  : UBINMLRKKD8169  All part & parcel of 5 Cents of land & residential building admeasuring 1000 sq ft.at RS No.3/2,D.No.1/256,Karadka Grama Panchayath, Nelliadka PO, Movvar,Karadka,Mulleria,Kasaragod-671543,owned by Mrs.Balagirija, and situated within the following boundaries: East Road North Property of Marco D Souza West Hill South Road",Kochi,Kacheripady,2 Bds , 2 Ba , 1000 ft2,"₹ 16,00,000"
FULLY FURNISHED WATERFRONT 3BHK FLAT FOR SALE,Riviera Retreat is an apartment located on the Thevara Waterfront in Kochi. The apartment is situated close to Ernakulam Junction in Cochin and just an hour drive away from the Cochin International Airport. Our strategic location gives us an edge to bring ease of travel and transit to our customers. Our project offers luxurious apartment bedrooms filled with opulent amenities and exclusive leisure facilities.,Kochi,Thevara,3 Bds , 4 Ba , 1962 ft2,"₹ 1,02,00,000"
"Land and Building at Nileshwar village, Hosdurg Taluk, Kasargode distr","Property Code : 1044738  Asset Schedule  Property ID  : UBINMLRKKD3573  20.00 cents of land with residential building in RS no 700/4 in Nileshwar village, Hosdurg Taluk, Kasargode district in the name of Mr.Padmanabhan V and bounded by following boundaries: East Path way West Road North Road South Property of Sukumari & Thankamani",Kochi,Kacheripady,3 Bds , 3 Ba , 8711 ft2,"₹ 24,00,000"
3BHK APARTMENT FOR SALE NEAR HIGH COURT!!!,# 3 bed + study # Walking distance (0.5km) to Kerala High Court  # 1km to MG Road/ Marine drive # 1600sqft carpet area  # All bedrooms with attached bathrooms # 4 balconies # Spacious work area with servants toilet # 1 covered car park # Small secure community of just 10 apartments. # Privacy with no wall sharing # Only 2 apartments per floor,Kochi,Kacheripady,3 Bds , 3 Ba , 1700 ft2,"₹ 87,00,000"
LUXURY 3BHK APARTMENTS AT GIRINAGAR,"Luxury apartment project in Girinagar Kochi. Own your dream home in Kochi from the most trusted name in town. Buy an apartment in Kalyan Marvella and live in the lap of luxury. New 2 and 3 BHK luxury apartment project at Girinagar, Kochi is nestled in the heart of Ernakulam. These spacious luxury flats with state of the art facilities and innovative safety features will pamper and gratify all your desires for luxury and comfort.",Kochi,Kadavanthara,3 Bds , 3 Ba , 2036 ft2,"₹ 1,48,00,000"
3BHK FLAT FOR SALE AT KADAVANTHRA,"Buy an apartment in Kalyan Marvella and live in the lap of luxury. New 2 and 3 BHK luxury apartment project at Girinagar, Kochi is nestled in the heart of Ernakulam. These spacious luxury flats with state of the art facilities and innovative safety features will pamper and gratify all your desires for luxury and comfort.",Kochi,Kadavanthara,3 Bds , 3 Ba , 1731 ft2,"₹ 1,30,00,000"
Luxury Flat for sale at Kadavanthra,"Meet the best of both worlds with the Grand Cypress. The spacious layouts are conceived to support the trappings of a life of luxury, whilst situated adjoining Panampilly Nagar, one of the most sought-after locations in Kochi.  The generous balconies overlook a park and open spaces – yet another luxury when you consider the prime location at which Grand Cypress is located.  The smaller details in the spatial planning accommodate the needs of a modern family, from work areas to balconies that allow for an inside-outside space to take in the view. Situated adjoining Panampilly Nagar, which is one of the most happening places in Kochi, the spacious apartments are well suited to hosting guests and visitors.",Kochi,Kadavanthra,2 Bds , 3 Ba , 1424 ft2,"₹ 1,20,00,000"
Water front apartment for sale in dlf riverside kadavanthara,"A 3 bedroom  flat, located in kadavanthra, kochi, is available. It is an  semi-Furnished flat located in kadavanthra. Situated in a prominent locality. The flat is on 4th floor of the building. Aesthetically designed, this property has 3 bathroom(s). The property also has 1balcony(s). The flat has a good view of the locality. The flat is a freehold property and  has a carpet area of 2285 sq.Ft. The flat  offers good security. The unit has 1 covered parking and 1 open parking. Brokers please excuse",Kochi,Kadavanthara,3 Bds , 3 Ba , 2285 ft2,"₹ 1,75,00,000"
"Prestige Neptune Courtyard in marin drive, 4 bedroom flat floor sale","Prestige Neptune Courtyard in marin drive,  4 bedroom and 4 bathroom, 2895 sq ft ,  9/16th floor  Brokers please excuse",Kochi,Marine Drive,4 Bds , 4 Ba , 2895 ft2,"₹ 2,75,00,000"
ABAD REFLECTION 4 BHK APARTMENT FOR SALE,An exclusive apartment project from ABAD Builders offering 20 swanky and spacious apartments with 2 units on each floor caters to a privileged,Kochi,Panampilly Nagar,4 Bds , 4 Ba , 2627 ft2,"₹ 2,45,00,000"
PREMIUM DUPLEX APARTMENT FOR SALE,"Meet the best of both worlds with the Grand Cypress. The spacious layouts are conceived to support the trappings of a life of luxury, whilst situated adjoining Panampilly Nagar, one of the most sought-after locations in Kochi. The generous balconies overlook a park and open spaces – yet another luxury when you consider the prime location at which Grand Cypress is located. The smaller details in the spatial planning accommodate the needs of a modern family, from work areas to balconies that allow for an inside-outside space to take in the view. Situated adjoining Panampilly Nagar, which is one of the most happening places in Kochi, the spacious apartments are well suited to hosting guests and visitors.",Kochi,Kadavanthra,4 Bds , 4+ Ba , 2768 ft2,"₹ 2,35,00,000"
"New House 4bhk For Sale At  Eroor ,Vyttila","1700Sqft , 4bhk , 3bathroom , Semifinished New House For Sale at near Eroor , Vyttila .     1km From Vyttila hub",Kochi,Kadavanthra,4 Bds , 3 Ba , 1700 ft2,"₹ 78,00,000"
3 BHK independent house villa Kadavanthara nagar,Independent house villa at Kadavanthara  3 BHK 4.559 Cents Recently Fully renovated  Premium and safe housing community    Call: 808989a0118,Kochi,Kadavanthra,3 Bds , 4 Ba , 2000 ft2,"₹ 1,20,00,000"
Panampilly Nagar New Project Galaxy Golden Dale,3BHK 2Bathroom Semi Furnished Apartment at Panampilly Nagar New Project  Amenities - Galaxy Golden Dale  Indoor  * 24Hrs Backup Electricity * Fire Safety * Intercom  Society  * Amphitheater * CCTV Cameras * Club House * Jogging Track  * Covered Car Parking * Indoor Games *  Jogging Track * Lift  * Landscaped Garden * Play Area * Security Personnel  * Rain Water Harvesting,Kochi,Kadavanthara,3 Bds , 2 Ba , 1211 ft2,"₹ 73,00,000"
"Pourasamithi,kacheripadi,palluruthy",Urgent sale,Kochi,Perumbadappu,2 Bds , 2 Ba , 0000 ft2,"₹ 16,00,000"
4BHK Square Project Villa Kadavanthra,"4 BHK Villa for sale in Kochi. This property is in Kadavanthra, which is a coveted investment location. This tastefully designed 4 BHK unit is among Kochi's best properties.  * Residential villa project with 4 cent sale at  kp vallon road kadavanthra , ,1.36 plus gst  and registeration charges extra  * Just 500 meters from kadavanthra  junction  * Walkable distance to regional sports  center  kadavanthra metro station  * Courtyard open to sky bringing in natural  lighting  * Multiple car park  * Courtyard open to sky bringing in natural  lighting  * Security surveilance cams  * Same villa project with 6 cent 10 cent Availble For Budget and More Details Contact",Kochi,Kadavanthara,4 Bds , 4 Ba , 1650 ft2,"₹ 1,36,00,000"
Regalia New Project J Type Yeskay,"3 BHK Apartment sale at Kadavanthra ,3Bedroom,3 Bathroom 2 Balcony ,newapartment  8850000+ GST TAX Price /-  Amenities - Yeskay Regalia Tower  Society  * Covered Car Parking * Kids Pool * Lift * Party Area * Visitor Parking * Visitor lounge * Security Personnel * Indoor Games* CCTV Cameras  * Health Facilities * Club House * 24Hrs Water Supply  Indoor  *24Hrs Backup Electricity * Fire Safety * Gas Pipeline *  Home Theater* Intercom * Jacuzzi Steam Sauna",Kochi,Kadavanthara,3 Bds , 3 Ba , 1300 ft2,"₹ 88,50,000"
"3BHK Semifurnished Flat in Marine Drive, Ernakulam,2461sqft,","2461sqft, 3BHK Semi furnished Flat, Study Room and  Servent Room extra, 1 parking slot  Price - 3 Crore  700/7933",Kochi,Marine Drive,3 Bds , 3 Ba , 2461 ft2,"₹ 3,00,00,000"
Old home for sale 2.875 cent with lorry access. fort kochi,"Old home for sale 2.875 cent with lorry access.42lakhs, thamaraparambu, fort kochi",Kochi,Amaravathy,2 Bds , 2 Ba , 1800 ft2,"₹ 42,00,000"
3420 SqFt PENTHOUSE AT PANAMPILLY NAGAR 3 BHK,**Call: 8️⃣0️⃣8️⃣9️⃣8️⃣9️⃣0️⃣1️⃣1️⃣8️⃣**  PENTHOUSE in Panampilly Nagar  VVIP Housing Community Uniquely Design Balconies on Three Sides Air Conditioned Bedrooms  Gardening Done on All Balconies  Spacious Property  Perfect Residence for a Nature Lover - Windy and Calming nature of the property - Great Panoramic View which No other properties in Panampilly Nagar offers  3420 SqFt 3 BHK  Open Kitchen Inhouse Garden Panampilly Nagar  **Call: 8️⃣0️⃣8️⃣9️⃣8️⃣9️⃣0️⃣1️⃣1️⃣8️⃣**,Kochi,Panampilly Nagar,3 Bds , 4 Ba , 3420 ft2,"₹ 2,30,00,000"
Contemporary design luxury villa 4 Bhk Kadavanthara vytilla,"Fully Luxury Furnitures and Interior works 4 BHK 10 CENTS  3800 SqFt 4+ Car parking area Cabin House build for Security / Maid Location: Near Elamkulam Metro station, Vytilla ONS003  ₹3.5 Crores (Negotiable price)  Call: 808989a0118",Kochi,Kadavanthra,4 Bds , 4+ Ba , 3800 ft2,"₹ 3,50,00,000"
